Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
Intercape Cape Town,393139.1,58970.88,452109.98,2023-06-01
083: S A Airways,36767.77,5515.15,42282.92,2023-06-01
640: Fly Safair,2949.2,442.38,3391.58,2023-06-01
820: Airlink Airline,7243.59,1086.54,8330.13,2023-06-01
Anew Hotel,26608.7,3991.3,30600,2023-06-01
Anew Hotel,3078.26,461.74,3540,2023-06-01
Akk: Atkv Klein-Kariba,1460.87,219.13,1680,2023-06-01
Anew Resort,22347.82,3352.18,25700,2023-06-01
Avs: Avis,20274.74,3041.21,23315.95,2023-06-01
Cbb: Cashan Bnb,6782.61,1017.39,7800,2023-06-01
Cch: Century City Conference Centre And Hotels,1521.74,228.26,1750,2023-06-01
City Lodge Hotel,13885.22,2082.78,15968,2023-06-01
City Lodge Hotel,4382.61,657.39,5040,2023-06-01
Dtl: Dunwoodie Travel Lodge,3826.09,573.91,4400,2023-06-01
Ehp: Elgro Hotel Potchefstroom,1013.04,151.96,1165,2023-06-01
Elr: Elrose Guest House,11304.35,1695.65,13000,2023-06-01
Euc: Europe Car,12434.79,1865.22,14300.01,2023-06-01
Fvg: Fairview Guesthouse,1000,150,1150,2023-06-01
Garden Court,434.5,65.17,499.67,2023-06-01
Grc: Graceland Conference & Lifestyle Centre,1565.22,234.78,1800,2023-06-01
Hah: Hotel@Hatfield,5008.7,751.3,5760,2023-06-01
Hgh: @Home Guest House,3130.43,469.57,3600,2023-06-01
Ilv: Illovo Hotel Gibs Business School,3585.22,549.78,4135,2023-06-01
Kgh: Kenzo Guest House,3782.61,567.39,4350,2023-06-01
"Khl: Kedar Heritage Lodge, Conference Centre & Spa",13170.43,1975.57,15146,2023-06-01
Kmd: Komodo Guest House,17530.43,2629.57,20160,2023-06-01
Krl: Kriel Bed & Breakfast,5434.78,815.22,6250,2023-06-01
Ksv: Kovsie Inn,1565.22,234.78,1800,2023-06-01
Lbc: Limbali Cottages,6782.6,1017.4,7800,2023-06-01
Lfr: Loskopdam Forever Resort,8086.96,1213.04,9300,2023-06-01
Lng: Lala @ Night Guesthouse,2956.52,443.48,3400,2023-06-01
Med: Meloding Guest House,5008.7,751.3,5760,2023-06-01
Mgb: Maggy'S B And B,2608.7,391.3,3000,2023-06-01
Mgh: Masego Guest House,4521.74,678.26,5200,2023-06-01
Nwu: North West University,3313.04,496.96,3810,2023-06-01
Orion Safari,30434.78,4565.22,35000,2023-06-01
Protea By Marriott,1539.13,230.87,1770,2023-06-01
Palm Swift,4608.69,691.31,5300,2023-06-01
Protea By Marriott,13454.82,2018.22,15473.04,2023-06-01
Pvh: Pavilion Hotel,4295.65,644.35,4940,2023-06-01
Pwg: Peermont Walmont Hotel At Graceland,38633.04,5794.96,44428,2023-06-01
Rdr: Road Lodge Rustenburg,1878.26,281.74,2160,2023-06-01
Rgl: Rejabotlhe Guest Lodge,1260.87,189.13,1450,2023-06-01
Sce: Sundown Country Estate,3769.57,565.43,4335,2023-06-01
Slr: Sandton Lodge Rivonia,5040,756,5796,2023-06-01
Sls: Sefapane Lodge & Safaris,11582.61,1737.39,13320,2023-06-01
Southern Sun,32121.43,4818.22,36939.65,2023-06-01
Southern Sun,10719.85,1607.97,12327.82,2023-06-01
Southern Sun,1400,210,1610,2023-06-01
Southern Sun,19278.26,2891.74,22170,2023-06-01
Sth: Stonehenge River Lodge,5172.06,775.81,5947.87,2023-06-01
The Capital,3913.04,586.96,4500,2023-06-01
The Capital,9622.68,1443.4,11066.08,2023-06-01
Tfg: Treefern Guesthouse With Spa,11026.08,1653.92,12680,2023-06-01
Tgh: Thee Gesthouse,3913.05,586.95,4500,2023-06-01
Town Lodge,3139.13,470.87,3610,2023-06-01
Town Lodge,11856.52,1778.48,13635,2023-06-01
Tmt: The Maslow Time Square,2416.52,362.48,2779,2023-06-01
Toh: Three Oaks And An Aloe Boutique Hotel,69386.96,10408.04,79795,2023-06-01
Trc: The Red Cherry Guest House,3913.04,586.96,4500,2023-06-01
Trm: The Royal Marang Hotel,12944.37,1941.65,14886.02,2023-06-01
Tsc: Tuscany Hotel,4869.56,730.44,5600,2023-06-01
Vdv: Vaal De Vue,4521.74,678.26,5200,2023-06-01
Wtt: Wow Travel Tours,"2,086.96
987,304.97","313.04
148,107.75","2,400.00
1,135,412.72",2023-06-01
Intercape Cape Town,449382.42,,516789.73,2023-07-01
083: S A Airways,99740.51,,114701.57,2023-07-01
41O: 41 On Market Lodge,2869.56,,3300.0,2023-07-01
820: Airlink Airline,6820.0,,7843.0,2023-07-01
Anew Hotel,25175.39,,28951.7,2023-07-01
Anew Hotel,5043.48,,5800.0,2023-07-01
Avs: Avis,40633.33,,46728.34,2023-07-01
Bcl: Bokmakierie Country Lodge,1130.43,,1300.0,2023-07-01
Bon: Bonno Lodge And Conference Center,8582.61,,9870.0,2023-07-01
Cgd: Casa Grand Bb,7456.52,,8575.0,2023-07-01
City Lodge Hotel,7634.78,,8780.0,2023-07-01
City Lodge Hotel,50463.47,,58033.0,2023-07-01
Dlm: Delectus Manor,4275.69,,4917.04,2023-07-01
Euc: Europe Car,5800.0,,5800.0,2023-07-01
Garden Court,9356.52,,10760.0,2023-07-01
Grc: Graceland Conference & Lifestyle Centre,180580.0,,207667.0,2023-07-01
Gvb: Grand View Bed & Breakfast,2217.39,,2550.0,2023-07-01
Hah: Hotel@Hatfield,28043.48,,32250.0,2023-07-01
Ilv: Illovo Hotel Gibs Business School,2121.74,,2440.0,2023-07-01
"Ind: Indaba Hotel, Spa And Conference Centre",3352.09,,3854.9,2023-07-01
Lbc: Limbali Cottages,1130.43,,1300.0,2023-07-01
Lng: Lala @ Night Guesthouse,1521.74,,1750.0,2023-07-01
Mcg: Modcharm Guesthouse( Mogwasi),2608.7,,3000.0,2023-07-01
Mgh: Masego Guest House,2260.86,,2600.0,2023-07-01
Mjm: Mercure Johannesburg Midrand Hotel,5321.74,,6120.0,2023-07-01
Pfi: Protea Fire & Ice Menlyn,5780.87,,6648.0,2023-07-01
Protea By Marriott,8711.3,,10018.0,2023-07-01
Protea By Marriott,3078.26,,3540.0,2023-07-01
Pmh: Peermont Metcourt Hotel,17217.39,,19800.0,2023-07-01
Protea By Marriott,4747.83,,5460.0,2023-07-01
Rgh: The Regency Apartment Hotel | Menlyn,8260.87,,9500.0,2023-07-01
Rgl: Rejabotlhe Guest Lodge,1260.87,,1450.0,2023-07-01
Southern Sun,73721.78,,84780.04,2023-07-01
Southern Sun,2920.14,,3358.15,2023-07-01
Southern Sun,11200.0,,12880.0,2023-07-01
Southern Sun,8991.3,,10340.0,2023-07-01
Str: Stayeasy Rustenburg,4017.89,,4620.57,2023-07-01
Tfc: Touch Of Class Guest House,14880.0,,17112.0,2023-07-01
"Tfh: The Fairway Hotel, Spa And Golf Resort",1226.52,,1410.5,2023-07-01
Tgv: The Garden Venue Hotel,2695.65,,3100.0,2023-07-01
Toh: Three Oaks And An Aloe Boutique Hotel,7369.57,,8475.0,2023-07-01
Trm: The Royal Marang Hotel,93739.13,,107800.0,2023-07-01
Wgh: The Willows Garden Hotel,3769.57,,4335.0,2023-07-01
Anew Hotel,32695.65,4904.35,37600.0,2023-08-01
Anew Hotel,3330.78,499.62,3830.4,2023-08-01
Avis (Avs),23706.36,1948.55,25654.91,2023-08-01
Cascades Hotel (Csh),26817.39,4022.61,30840.0,2023-08-01
City Lodge Hotel,21717.39,3257.61,24975.0,2023-08-01
City Lodge Hotel,31913.04,4786.96,36700.0,2023-08-01
City Lodge Hotel,13991.3,2098.7,16090.0,2023-08-01
City Lodge Hotel,8678.26,1301.74,9980.0,2023-08-01
